,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,C3T,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000260317422222222,-0.000260317422222222,-0.000260317422222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000260317422222222,-0.000260317422222222,-0.000260317422222222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,30.0000000005432,0.0,0.0
2,41.2,-0.00023567596584526,-0.000235675965845261,-0.000379276152533333,0.0,0.0,0.0,-4000000.0,-4000000.0,-5070628.5728,0.0,0.0,0.0,-0.000235675965845261,-0.000235675965845261,-0.000379276152533334,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,59.9999986958392,0.0,0.0
3,42.4,-0.000211034509468299,-0.000211034509468299,-0.000498234882844444,0.0,0.0,0.0,-4000000.0,-4000000.0,-6141257.1456,0.0,0.0,0.0,-0.000211034509468299,-0.000211034509468299,-0.000498234882844444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,59.9999992470424,0.0,0.0
4,43.6,-0.000186393053091338,-0.000186393053091338,-0.000617193613155555,0.0,0.0,0.0,-4000000.0,-4000000.0,-7211885.7184,0.0,0.0,0.0,-0.000186393053091338,-0.000186393053091338,-0.000617193613155556,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,60.0,0.0,0.0
5,44.8,-0.000161751596714376,-0.000161751596714376,-0.000736152343466666,0.0,0.0,0.0,-4000000.0,-4000000.0,-8282514.2912,0.0,0.0,0.0,-0.000161751596714376,-0.000161751596714376,-0.000736152343466667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,60.0,0.0,0.0
6,46.0,-0.000137110140337415,-0.000137110140337415,-0.000855111073777777,0.0,0.0,0.0,-4000000.0,-4000000.0,-9353142.864,0.0,0.0,0.0,-0.000137110140337415,-0.000137110140337415,-0.000855111073777778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,59.9999995975272,0.0,0.0
7,47.2,-0.000112468683960453,-0.000112468683960453,-0.000974069804088889,0.0,0.0,0.0,-4000000.0,-4000000.0,-10423771.4368,0.0,0.0,0.0,-0.000112468683960453,-0.000112468683960453,-0.000974069804088889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,59.9999995975272,0.0,0.0
8,48.4,-8.78272275834917e-05,-8.78272275834917e-05,-0.0010930285344,0.0,0.0,0.0,-4000000.0,-4000000.0,-11494400.0096,0.0,0.0,0.0,-8.7827227583492e-05,-8.7827227583492e-05,-0.0010930285344,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,59.9999995975272,0.0,0.0
9,49.6,-6.31857712065302e-05,-6.31857712065302e-05,-0.00121198726471111,0.0,0.0,0.0,-4000000.0,-4000000.0,-12565028.5824,0.0,0.0,0.0,-6.31857712065305e-05,-6.31857712065305e-05,-0.00121198726471111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.6,59.9999997154088,0.0,0.0
10,50.8,-3.85443148295688e-05,-3.85443148295689e-05,-0.00133094599502222,0.0,0.0,0.0,-4000000.0,-4000000.0,-13635657.1552,0.0,0.0,0.0,-3.85443148295691e-05,-3.85443148295691e-05,-0.00133094599502222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.8,59.9999995975272,0.0,0.0
11,52.0,-1.39028584526074e-05,-1.39028584526073e-05,-0.00144990472533333,0.0,0.0,0.0,-4000000.0,-4000000.0,-14706285.728,0.0,0.0,0.0,-1.39028584526076e-05,-1.39028584526076e-05,-0.00144990472533333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,59.9999997154088,0.0,0.0
12,53.2,1.07385979243542e-05,1.07385979243542e-05,-0.00156886345564444,0.0,0.0,0.0,-4000000.0,-4000000.0,-15776914.3008,0.0,0.0,0.0,1.07385979243539e-05,1.07385979243539e-05,-0.00156886345564444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.2,59.9999995975272,0.0,0.0
13,54.4,3.53800543013156e-05,3.53800543013156e-05,-0.00168782218595556,0.0,0.0,0.0,-4000000.0,-4000000.0,-16847542.8736,0.0,0.0,0.0,3.53800543013153e-05,3.53800543013153e-05,-0.00168782218595556,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.4,59.9999995975272,0.0,0.0
14,55.6,6.0021510678277e-05,6.00215106782771e-05,-0.00180678091626667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17918171.4464,0.0,0.0,0.0,6.00215106782768e-05,6.00215106782768e-05,-0.00180678091626667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.6,59.9999997154088,0.0,0.0
15,56.8,8.46629670552384e-05,8.46629670552384e-05,-0.00192573964657778,0.0,0.0,0.0,-4000000.0,-4000000.0,-18988800.0192,0.0,0.0,0.0,8.46629670552381e-05,8.46629670552381e-05,-0.00192573964657778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.8,60.0,0.0,0.0
16,58.0,0.0001093044234322,0.0001093044234322,-0.00204469837688889,0.0,0.0,0.0,-4000000.0,-4000000.0,-20059428.592,0.0,0.0,0.0,0.0001093044234322,0.0001093044234322,-0.00204469837688889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,59.9999995975272,0.0,0.0
17,59.2,0.000133945879809161,0.000133945879809162,-0.0021636571072,0.0,0.0,0.0,-4000000.0,-4000000.0,-21130057.1648,0.0,0.0,0.0,0.000133945879809161,0.000133945879809161,-0.0021636571072,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.2,59.9999995070736,0.0,0.0
18,60.4,0.000158587336186123,0.000158587336186123,-0.00228261583751111,0.0,0.0,0.0,-4000000.0,-4000000.0,-22200685.7376,0.0,0.0,0.0,0.000158587336186123,0.000158587336186123,-0.00228261583751111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.4,59.9999997154088,0.0,0.0
19,61.6,0.000183228792563084,0.000183228792563084,-0.00240157456782222,0.0,0.0,0.0,-4000000.0,-4000000.0,-23271314.3104,0.0,0.0,0.0,0.000183228792563084,0.000183228792563084,-0.00240157456782222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.6,59.9999995070736,0.0,0.0
