,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000745518687171413,-0.000745518687171413,-0.000745518687171413,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000745518687171413,-0.000745518687171413,-0.000745518687171413,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.000716264205858584,-0.000716264205858584,-0.000862536612422728,0.0,0.0,0.0,-4000000.0,-4000000.0,-4313923.52,0.0,0.0,0.0,-0.000716264205858584,-0.000716264205858584,-0.000862536612422727,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.000687009724545756,-0.000687009724545756,-0.000979554537674042,0.0,0.0,0.0,-4000000.0,-4000000.0,-4627847.04,0.0,0.0,0.0,-0.000687009724545755,-0.000687009724545755,-0.000979554537674041,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.000657755243232927,-0.000657755243232927,-0.00109657246292536,0.0,0.0,0.0,-4000000.0,-4000000.0,-4941770.56,0.0,0.0,0.0,-0.000657755243232927,-0.000657755243232927,-0.00109657246292536,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.000628500761920099,-0.000628500761920099,-0.00121359038817667,0.0,0.0,0.0,-4000000.0,-4000000.0,-5255694.08,0.0,0.0,0.0,-0.000628500761920098,-0.000628500761920098,-0.00121359038817667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-0.00059924628060727,-0.00059924628060727,-0.00133060831342798,0.0,0.0,0.0,-4000000.0,-4000000.0,-5569617.6,0.0,0.0,0.0,-0.00059924628060727,-0.00059924628060727,-0.00133060831342798,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
7,47.2,-0.000569991799294441,-0.000569991799294441,-0.0014476262386793,0.0,0.0,0.0,-4000000.0,-4000000.0,-5883541.12,0.0,0.0,0.0,-0.000569991799294441,-0.000569991799294441,-0.0014476262386793,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,0.0,0.0
8,48.4,-0.000540737317981613,-0.000540737317981613,-0.00156464416393061,0.0,0.0,0.0,-4000000.0,-4000000.0,-6197464.64,0.0,0.0,0.0,-0.000540737317981613,-0.000540737317981613,-0.00156464416393061,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,0.0,0.0
9,49.6,-0.000511482836668784,-0.000511482836668784,-0.00168166208918193,0.0,0.0,0.0,-4000000.0,-4000000.0,-6511388.16,0.0,0.0,0.0,-0.000511482836668784,-0.000511482836668784,-0.00168166208918193,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,0.0,0.0
10,50.8,-0.000482228355355955,-0.000482228355355955,-0.00179868001443324,0.0,0.0,0.0,-4000000.0,-4000000.0,-6825311.68,0.0,0.0,0.0,-0.000482228355355955,-0.000482228355355955,-0.00179868001443324,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.8,0.0,0.0
11,52.0,-0.000452973874043127,-0.000452973874043127,-0.00191569793968456,0.0,0.0,0.0,-4000000.0,-4000000.0,-7139235.2,0.0,0.0,0.0,-0.000452973874043127,-0.000452973874043127,-0.00191569793968456,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0
12,53.2,-0.000423719392730298,-0.000423719392730298,-0.00203271586493587,0.0,0.0,0.0,-4000000.0,-4000000.0,-7453158.72,0.0,0.0,0.0,-0.000423719392730298,-0.000423719392730298,-0.00203271586493587,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.2,0.0,0.0
13,54.4,-0.00039446491141747,-0.00039446491141747,-0.00214973379018718,0.0,0.0,0.0,-4000000.0,-4000000.0,-7767082.24,0.0,0.0,0.0,-0.00039446491141747,-0.00039446491141747,-0.00214973379018718,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.4,0.0,0.0
14,55.6,-0.000365210430104641,-0.000365210430104641,-0.0022667517154385,0.0,0.0,0.0,-4000000.0,-4000000.0,-8081005.76,0.0,0.0,0.0,-0.000365210430104641,-0.000365210430104641,-0.0022667517154385,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.6,0.0,0.0
