,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,GAMMAP,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000260317422222222,-0.000260317422222222,-0.000260317422222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000260317422222222,-0.000260317422222222,-0.000260317422222222,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.00023567596584526,-0.000235675965845261,-0.000379276152533333,0.0,0.0,0.0,-4000000.0,-4000000.0,-5070628.5728,0.0,0.0,0.0,-0.000235675965845261,-0.000235675965845261,-0.000379276152533334,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.000211034509468299,-0.000211034509468299,-0.000498234882844444,0.0,0.0,0.0,-4000000.0,-4000000.0,-6141257.1456,0.0,0.0,0.0,-0.000211034509468299,-0.000211034509468299,-0.000498234882844444,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.000186393053091338,-0.000186393053091338,-0.000617193613155555,0.0,0.0,0.0,-4000000.0,-4000000.0,-7211885.7184,0.0,0.0,0.0,-0.000186393053091338,-0.000186393053091338,-0.000617193613155556,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.000161751596714376,-0.000161751596714376,-0.000736152343466666,0.0,0.0,0.0,-4000000.0,-4000000.0,-8282514.2912,0.0,0.0,0.0,-0.000161751596714376,-0.000161751596714376,-0.000736152343466667,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-0.000137110140337415,-0.000137110140337415,-0.000855111073777777,0.0,0.0,0.0,-4000000.0,-4000000.0,-9353142.864,0.0,0.0,0.0,-0.000137110140337415,-0.000137110140337415,-0.000855111073777778,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
7,47.2,-0.000112468683960453,-0.000112468683960453,-0.000974069804088889,0.0,0.0,0.0,-4000000.0,-4000000.0,-10423771.4368,0.0,0.0,0.0,-0.000112468683960453,-0.000112468683960453,-0.000974069804088889,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,0.0,0.0
8,48.4,-8.78272275834917e-05,-8.78272275834917e-05,-0.0010930285344,0.0,0.0,0.0,-4000000.0,-4000000.0,-11494400.0096,0.0,0.0,0.0,-8.7827227583492e-05,-8.7827227583492e-05,-0.0010930285344,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,0.0,0.0
9,49.6,-6.31857712065302e-05,-6.31857712065302e-05,-0.00121198726471111,0.0,0.0,0.0,-4000000.0,-4000000.0,-12565028.5824,0.0,0.0,0.0,-6.31857712065305e-05,-6.31857712065305e-05,-0.00121198726471111,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.6,0.0,0.0
