,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000196825422222222,-0.000196825422222222,-0.000196825422222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000196825422222222,-0.000196825422222222,-0.000196825422222222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.000163616173955918,-0.000163616173955918,-0.000316038120533333,0.0,0.0,0.0,-4000000.0,-4000000.0,-5072914.2848,0.0,0.0,0.0,-0.000163616173955918,-0.000163616173955918,-0.000316038120533334,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.000130406925689614,-0.000130406925689614,-0.000435250818844444,0.0,0.0,0.0,-4000000.0,-4000000.0,-6145828.5696,0.0,0.0,0.0,-0.000130406925689615,-0.000130406925689615,-0.000435250818844444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-9.71976774233105e-05,-9.71976774233104e-05,-0.000554463517155555,0.0,0.0,0.0,-4000000.0,-4000000.0,-7218742.8544,0.0,0.0,0.0,-9.71976774233107e-05,-9.71976774233107e-05,-0.000554463517155556,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-6.39884291570067e-05,-6.39884291570066e-05,-0.000673676215466666,0.0,0.0,0.0,-4000000.0,-4000000.0,-8291657.1392,0.0,0.0,0.0,-6.39884291570069e-05,-6.39884291570069e-05,-0.000673676215466666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-3.07791808907028e-05,-3.07791808907026e-05,-0.000792888913777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-9364571.424,0.0,0.0,0.0,-3.0779180890703e-05,-3.0779180890703e-05,-0.000792888913777778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
7,47.2,2.43006737560117e-06,2.4300673756013e-06,-0.000912101612088889,0.0,0.0,0.0,-4000000.0,-4000000.0,-10437485.7088,0.0,0.0,0.0,2.43006737560092e-06,2.43006737560098e-06,-0.000912101612088889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,0.0,0.0
8,48.4,3.5639315641905e-05,3.5639315641905e-05,-0.0010313143104,0.0,0.0,0.0,-4000000.0,-4000000.0,-11510399.9936,0.0,0.0,0.0,3.56393156419047e-05,3.56393156419047e-05,-0.0010313143104,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,0.0,0.0
9,49.6,6.88485639082089e-05,6.8848563908209e-05,-0.00115052700871111,0.0,0.0,0.0,-4000000.0,-4000000.0,-12583314.2784,0.0,0.0,0.0,6.88485639082086e-05,6.88485639082086e-05,-0.00115052700871111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,0.0,0.0
